ID ra dec pmRA pmDEC Tmag objType typeSrc version HIP TYC UCAC TWOMASS SDSS ALLWISE GAIA APASS KIC POSflag e_pmRA e_pmDEC PMflag plx e_plx PARflag gallong gallat eclong eclat Bmag e_Bmag Vmag e_Vmag umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag Jmag e_Jmag Hmag e_Hmag Kmag e_Kmag TWOMflag prox w1mag e_w1mag w2mag e_w2mag w3mag e_w3mag w4mag e_w4mag GAIAmag e_GAIAmag e_Tmag TESSflag SPFlag Teff e_Teff logg e_logg MH e_MH rad e_rad mass e_mass rho e_rho lumclass lum e_lum d e_d ebv e_ebv numcont contratio disposition duplicate_id priority eneg_EBV epos_EBV EBVflag eneg_Mass epos_Mass eneg_Rad epos_Rad eneg_rho epos_rho eneg_logg epos_logg eneg_lum epos_lum eneg_dist epos_dist distflag eneg_Teff epos_Teff TeffFlag gaiabp e_gaiabp gaiarp e_gaiarp gaiaqflag starchareFlag VmagFlag BmagFlag splists e_RA e_Dec RA_orig Dec_orig e_RA_orig e_Dec_orig raddflag wdflag dstArcSec
93549435 130.12578086297 -53.0146821190217 -13.0566 8.1518 11.168 STAR tmgaia2 20190415 "" "" 185-021161 08403018-5300528 "" J084030.16-530052.7 5318542738060617728 24741849 "" tmgaia2 0.0492242 0.0456511 gaia2 1.39563 0.0250096 gaia2 270.344434603823 -6.83105363946972 164.941817972594 -66.3276872555651 11.482 0.029 11.316 0.195 nan nan nan nan nan nan nan nan nan nan 10.835 0.024 10.761 0.022 10.685 0.023 AAA-222-111-sss-0-0 nan 10.633 0.023 10.662 0.02 10.68 0.141 8.816 nan 11.2755 0.000613 0.0065 rered gaia2 10070.0 200.316 4.35656 0.061419 nan nan 1.76427 0.0503367 2.58 0.338376 0.469812 0.0738128 DWARF 28.8365421 2.472805 702.296 12.4335 0.237043 0.01018947 999 0.268900722 "" "" 6.680431e-05 0.00960984 0.0107691 schlegel 0.217902 0.458851 0.0463307 0.0543427 0.0692142 0.0784113 0.0675211 0.0553168 2.11955 2.82606 12.217 12.65 bj2018 210.953 189.68 dered 11.3776 0.001897 11.093 0.001063 1 "" ucac4 apassdr9 "" 0.852893285185643 0.708046651403608 130.125687420567 -53.0146470210302 0.0222492842286922 0.0253683137133788 1 0 67.77178938372529
93554714 130.152471485024 -53.0628089057856 -3.66857 2.89459 12.607 STAR tmgaia2 20190415 "" "" 185-021188 08403659-5303460 "" J084036.59-530346.0 5318542287077715072 24741876 "" tmgaia2 0.0356718 0.0330552 gaia2 1.07325 0.0185898 gaia2 270.392820023531 -6.84735668457255 165.049215234651 -66.3544517352377 13.626 0.064 13.101 0.103 nan nan nan nan nan nan nan nan nan nan 11.977 0.026 11.765 0.026 11.692 0.026 AAA-222-111-000-0-0 nan 11.641 0.023 11.667 0.022 12.032 0.426 9.381 nan 12.9902 0.001063 0.0065 rered gaia2 7308.0 141.273 4.17929 0.0838787 nan nan 1.73033 0.0686633 1.65 0.274278 0.318489 0.068368 DWARF 7.69393 0.4640555 907.635 15.436 0.27427 0.010183 1014 0.187528059 "" "" 2.96855451e-05 0.0111466 0.0092194 schlegel 0.210314 0.338241 0.0686276 0.068699 0.0673155 0.0694205 0.0839254 0.0838321 0.419165 0.508946 15.178 15.694 bj2018 138.974 143.573 dered 13.2808 0.003145 12.5304 0.001916 1 "" ucac4 apassdr9 "" 0.618210864191252 0.512643495802217 130.15244520078 -53.0627964429703 0.0163720087998 0.0171782693236957 1 0 115.28901884609289
93554874 130.19050450601 -53.0180056742433 -4.91142 5.94612 12.6807 STAR tmgaia2 20190415 "" "" 185-021219 08404572-5301047 "" J084045.70-530104.8 5318542875499266560 "" "" tmgaia2 0.0319913 0.0301632 gaia2 0.209873 0.0164228 gaia2 270.370811094798 -6.80205000367711 165.021694507318 -66.3053785892459 13.425 0.045 13.037 0.606 nan nan nan nan nan nan nan nan nan nan 11.245 0.027 10.427 0.041 10.188 0.036 AAA-222-111-000-0-0 nan 10.106 0.028 10.221 0.027 10.166 0.112 8.856 nan 13.6318 0.000287 0.0062 rered gaia2 4675.0 122.0 nan nan nan nan 20.5392 nan nan nan nan nan GIANT nan nan 4185.16 294.445 0.47379 0.002520735 "" nan "" "" nan 0.00269922 0.00234225 schlegel nan nan nan nan nan nan nan nan nan nan 274.32 314.57 bj2018 nan nan dered 14.5623 0.001568 12.6744 0.000813 1 "" ucac4 bpbj "" 0.554322892484601 0.467789063699544 130.19046935366 -53.0179800729016 0.0148751642754484 0.0155782297048073 0 0 135.70924295025037
93554878 130.192834893805 -53.0167729002372 -8.87574 4.15916 11.4696 STAR tmgaia2 20190415 "" "" 185-021221 08404628-5301002 "" J084046.25-530100.2 5318542905553003392 24741916 "" tmgaia2 0.0435257 0.0523245 gaia2 4.19858 0.0247553 gaia2 270.370676710367 -6.80018795041675 165.022419040674 -66.3035346080748 12.816 0.035 12.136 0.195 nan nan nan nan nan nan nan nan nan nan 10.79 0.029 10.461 0.029 10.36 0.021 AAA-222-111-000-0-0 nan 10.316 0.031 10.36 0.029 10.404 0.138 8.616 nan 11.9505 0.000155 0.006 rered gaia2 5865.0 124.682 4.54811 0.0774762 nan nan 0.90705 0.0403115 1.06 0.134779 1.4204 0.305095 DWARF 0.8770607 0.0339424 236.557 1.3955 0.0972041 0.0100502754 988 0.400602341 "" "" 0.000144681282 0.00875805 0.0113425 schlegel 0.108734 0.160825 0.0383653 0.0422578 0.330992 0.279198 0.0874576 0.0674949 0.0292134 0.0386714 1.387 1.404 bj2018 125.012 124.351 dered 12.339 0.000994 11.4189 0.000617 1 "" ucac4 apassdr9 "" 0.75418723691176 0.811410715076287 130.19277136956 -53.0167549927595 0.0205463175767621 0.024861479351589 1 0 142.12072427751275
93549438 130.072771194456 -53.0153960572533 -24.794 23.0824 5.7033 STAR tmgaia2 20190415 42535 8569-04019-1 185-021110 08401745-5300554 "" J084017.44-530055.2 5318543425255007872 "" "" tmgaia2 0.173016 0.164498 gaia2 6.46127 0.0945605 gaia2 270.325606555416 -6.85690084226161 164.881791692444 -66.3485958917485 5.413 0.021 5.56 0.03 nan nan nan nan nan nan nan nan nan nan 5.823 0.023 5.925 0.055 5.894 0.026 AAA-111-111-000-0-0 nan 5.946 0.127 5.844 0.053 5.995 0.016 5.961 0.041 5.54198 0.00175221 0.0063 rered spect 13521.0 94.0 nan nan nan nan nan nan nan nan nan nan "" nan nan 154.14 2.2645 0.0666525 nan "" nan "" "" nan nan nan schlegel nan nan nan nan nan nan nan nan nan nan nan nan bj2018 nan nan spect 5.47889 0.001748 5.65436 0.002642 1 "" hipvmag tycho2b3 "" 2.9978524871082 2.55147216692718 130.072593747856 -53.015296674829 0.0799390419921554 0.094568703296 -1 0 144.99744322675087
93554650 130.161309590427 -53.0821296478284 -9.15218 5.03839 11.8504 STAR tmgaia2 20190415 "" "" 185-021193 08403871-5304556 "" J084038.70-530455.6 5318495355978998272 24741887 "" tmgaia2 0.0448704 0.0419569 gaia2 0.746343 0.0221716 gaia2 270.411554179997 -6.85480735676003 165.09021715901 -66.3659048640865 12.658 0.04 12.24 0.08 nan nan nan nan nan nan nan nan nan nan 11.307 0.024 11.176 0.024 11.093 0.023 AAA-222-111-000-0-0 nan 11.071 0.022 11.111 0.021 11.251 0.189 9.245 nan 12.1423 0.000154 0.0071 rered gaia2 8369.0 151.964 3.76674 0.0742578 nan nan 3.11637 0.126474 2.07 0.307119 0.068395 0.013236 DWARF 42.9226456 3.984465 1291.19 37.28 0.332377 0.0114759 1035 0.146535367 "" "" 1.84181572e-05 0.0128101 0.0101417 schlegel 0.266176 0.348062 0.104395 0.148554 0.0138089 0.0126632 0.0696108 0.0789048 3.27299 4.69594 36.22 38.34 bj2018 136.524 167.403 dered 12.3757 0.000979 11.7706 0.000842 1 "" ucac4 apassdr9 "" 0.777686346821145 0.650684849604876 130.161243988276 -53.0821079547787 0.0203488589513479 0.0214272796807624 1 0 187.17273598782205
93554647 130.185829787961 -53.0824132431838 -3.33584 4.23402 12.4794 STAR tmgaia2 20190415 "" "" 185-021214 08404460-5304566 "" J084044.59-530456.6 5318495390338747520 26281858 "" tmgaia2 0.0306211 0.0289931 gaia2 0.116943 0.0161188 gaia2 270.420752225877 -6.84324846592226 165.118894870415 -66.3566969611401 15.993 0.093 14.169 0.103 nan nan nan nan nan nan nan nan nan nan 10.923 0.026 10.048 0.023 9.834 0.023 AAA-222-111-000-0-0 nan 9.692 0.023 9.812 0.02 9.689 0.056 9.23 0.507 13.4857 0.000329 0.006 rered gaia2 4453.0 122.0 nan nan nan nan 40.2539 nan nan nan nan nan GIANT nan nan 6745.13 750.735 0.465461 0.000536061 "" nan "" "" nan 0.000666774 0.000405348 schlegel nan nan nan nan nan nan nan nan nan nan 671.95 829.52 bj2018 nan nan dered 14.5075 0.003003 12.4873 0.001253 1 "" ucac4 apassdr9 "" 0.530724237484579 0.449657270883298 130.185805876748 -53.0823950133777 0.0140290063751615 0.0154125880342367 0 0 211.4463001030671
93554659 130.200429022189 -53.079647601623 -5.39015 6.12801 12.6337 STAR tmgaia2 20190415 "" "" 185-021225 08404810-5304466 "" J084048.09-530446.6 5318495218540063232 24741923 "" tmgaia2 0.0285699 0.0285887 gaia2 0.335279 0.0142894 gaia2 270.423877112396 -6.83459241843505 165.131281055934 -66.3489593134311 15.293 0.062 13.878 0.114 nan nan nan nan nan nan nan nan nan nan 11.343 0.024 10.759 0.026 10.561 0.023 AAA-222-111-000-0-0 nan 10.461 0.023 10.532 0.021 10.399 0.109 9.319 nan 13.4607 0.000201 0.0064 rered spect 4981.0 126.0 nan nan -0.0204265 0.0811682 11.6923 nan nan nan nan nan GIANT nan nan 2747.89 108.81 0.431289 nan "" nan "" "" nan nan nan schlegel nan nan nan nan nan nan nan nan nan nan nan nan bj2018 nan nan spect 14.226 0.001712 12.6078 0.001001 1 "" ucac4 apassdr9 "" 0.495161299390449 0.443338303317826 130.200390388218 -53.0796212171415 0.0128755902419522 0.0137556716014255 0 0 222.4561999465186
93549403 130.041543551584 -53.0042320469604 -4.02306 3.94456 11.5389 STAR tmgaia2 20190415 "" "" 185-021078 08400997-5300152 "" J084009.96-530015.1 5318543627108212352 26281017 "" tmgaia2 0.0465946 0.0461133 gaia2 0.17051 0.0258019 gaia2 270.305218714324 -6.86514276231143 164.827970143186 -66.3519907879691 15.311 -0.059 13.492 0.08 nan nan nan nan nan nan nan nan nan nan 9.893 0.023 8.947 0.022 8.697 0.021 AAA-222-111-000-0-0 nan 8.521 0.023 8.672 0.021 8.474 0.032 7.995 0.16 12.6328 0.000451 0.0062 rered gaia2 4181.0 122.0 nan nan nan nan 54.6511 nan nan nan nan nan GIANT nan nan 4974.54 669.52 0.485136 0.002631705 "" nan "" "" nan 0.00312436 0.00213905 schlegel nan nan nan nan nan nan nan nan nan nan 584.85 754.19 bj2018 nan nan dered 13.7968 0.002819 11.5647 0.000908 1 "" ucac4 apassdr9 "" 0.807303789192309 0.715180866670943 130.041514766649 -53.0042150634415 0.0214194208028841 0.0246438245688199 0 0 223.50082937716616
93554839 130.237811157111 -53.0300046001938 -13.9271 -3.62226 11.5203 STAR tmgaia2 20190415 "" "" 185-021245 08405708-5301479 "" J084057.05-530148.2 5318495940094574464 24741946 "" tmgaia2 0.044215 0.0426797 gaia2 3.56733 0.0225519 gaia2 270.397773202592 -6.7866608841372 165.095225826246 -66.2964272754268 12.84 0.033 12.102 0.069 nan nan nan nan nan nan nan nan nan nan 10.927 0.027 10.631 0.029 10.502 0.024 AAA-222-111-000-0-0 nan 10.423 0.023 10.473 0.02 10.441 0.126 9.215 nan 11.9794 0.000231 0.006 rered gaia2 6064.0 127.131 4.49389 0.0772386 nan nan 0.99685 0.0465377 1.13 0.145213 1.14074 0.23766 DWARF 1.21057427 0.05108155 278.082 1.7575 0.110667 0.01015544 1009 0.111723982 "" "" 0.000127088279 0.00892598 0.0113849 schlegel 0.145242 0.145185 0.0361648 0.0569106 0.210287 0.265034 0.0758964 0.0785809 0.0583502 0.0438129 1.747 1.768 bj2018 129.689 124.572 dered 12.3472 0.001593 11.4699 0.000714 1 "" ucac4 apassdr9 "" 0.766170350650431 0.661905332579033 130.237711449377 -53.0300201960773 0.0206923063525207 0.0221280364456081 1 0 227.16729111866442
