ID ra dec pmRA pmDEC Tmag objType typeSrc version HIP TYC UCAC TWOMASS SDSS ALLWISE GAIA APASS KIC POSflag e_pmRA e_pmDEC PMflag plx e_plx PARflag gallong gallat eclong eclat Bmag e_Bmag Vmag e_Vmag umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag Jmag e_Jmag Hmag e_Hmag Kmag e_Kmag TWOMflag prox w1mag e_w1mag w2mag e_w2mag w3mag e_w3mag w4mag e_w4mag GAIAmag e_GAIAmag e_Tmag TESSflag SPFlag Teff e_Teff logg e_logg MH e_MH rad e_rad mass e_mass rho e_rho lumclass lum e_lum d e_d ebv e_ebv numcont contratio disposition duplicate_id priority eneg_EBV epos_EBV EBVflag eneg_Mass epos_Mass eneg_Rad epos_Rad eneg_rho epos_rho eneg_logg epos_logg eneg_lum epos_lum eneg_dist epos_dist distflag eneg_Teff epos_Teff TeffFlag gaiabp e_gaiabp gaiarp e_gaiarp gaiaqflag starchareFlag VmagFlag BmagFlag splists e_RA e_Dec RA_orig Dec_orig e_RA_orig e_Dec_orig raddflag wdflag dstArcSec
339565595 253.530594 -41.824154 nan nan 12.294 STAR 2mass 20190415 "" "" "" 16540734-4149269 "" "" "" "" "" 2mass nan nan "" nan nan "" 343.459806 1.191029 257.07936 -19.120753 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 11.794 nan 13.67 0.164 13.16 0.078 UCA-022-011-0cc-0-0 nan nan nan nan nan nan nan nan nan nan nan 0.75 jhk "" nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan nan nan nan nan "" nan "" "" nan nan nan "" nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan "" nan nan nan nan "" "" "" "" "" 90.0 90.0 253.530594 -41.824154 90.0 90.0 "" 0 15.888393299604097
339568213 253.541922824837 -41.8250397607378 -0.201992 -2.07685 4.7744 STAR tmgaia2 20190415 82691 7876-02204-1 241-108141 16541005-4149300 "" J165410.05-414930.1 5966509885480902656 21433294 "" tmgaia2 0.109771 0.0748121 gaia2 0.58863 0.0582791 gaia2 343.46444945884 1.18391520047377 257.088341789105 -19.1206332637081 6.156 0.024 6.07 0.03 nan nan nan nan nan nan nan nan nan nan 5.647 0.03 5.583 0.038 5.502 0.027 AAA-111-111-000-0-0 nan 5.146 0.105 5.236 0.049 5.378 0.017 4.921 0.046 5.98199 0.00201345 0.6 rered gaia2 nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 1630.92 162.5 1.17815 0.10202115 "" nan "" "" nan 0.0935293 0.110513 schlegel nan nan nan nan nan nan nan nan nan nan 146.81 178.19 bj2018 nan nan "" 6.08422 0.005532 5.7857 0.003074 1 "" hipvmag tycho2b3 "" 1.82232653622389 1.1604116596353 253.54192165776 -41.8250487027309 0.056999364593118 0.0437256641177399 -1 0 18.30376943591008
339565584 253.528956196619 -41.8231560144893 -0.61812 -2.01475 8.134 STAR tmgaia2 20190415 "" "" 241-108100 16540694-4149233 "" J165406.95-414923.4 5966509846818671872 21433133 "" tmgaia2 0.0827197 0.0602119 gaia2 0.500177 0.0453132 gaia2 343.459817271957 1.19260242362983 257.077950099179 -19.1199159387443 9.637 0.0 9.91 0.012 nan nan nan nan nan nan nan nan nan nan 9.133 0.02 9.09 0.021 9.094 0.02 AAA-122-111-000-0-0 nan 9.123 0.024 9.203 0.023 8.567 0.099 6.663 0.136 9.453 0.000424 0.6 rered gaia2 nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 1898.3 167.945 1.34703 0.10109885 "" nan "" "" nan 0.0938257 0.108372 schlegel nan nan nan nan nan nan nan nan nan nan 153.53 182.36 bj2018 nan nan "" 9.54811 0.001435 9.2815 0.000938 1 "" ucac4 apassdr9 "" 1.37320540614323 0.933955042459154 253.528952625327 -41.8231646891075 0.0420027101239544 0.0353858265846457 -1 0 21.551069301707845
339568170 253.545667408242 -41.8275297784582 -0.739185 -1.90427 8.8206 STAR tmgaia2 20190415 "" "" 241-108154 16541095-4149390 "" "" 5966509885480897792 "" "" tmgaia2 0.107318 0.0710907 gaia2 0.522328 0.056883 gaia2 343.46427608528 1.18017939994463 257.091588321049 -19.122772722189 6.334 0.976 10.1465 0.0459 nan nan nan nan nan nan nan nan nan nan 9.625 0.023 9.607 0.029 9.497 0.036 AAA-121-111-cc0-0-0 nan nan nan nan nan nan nan nan nan 10.106 0.000514 0.6 rered gaia2 nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 1826.83 198.965 1.29606 0.120581 "" nan "" "" nan 0.109863 0.131299 schlegel nan nan nan nan nan nan nan nan nan nan 178.05 219.88 bj2018 nan nan "" 10.2313 0.001861 9.88677 0.000777 1 "" gaia2 bpbj "" 1.78158855805017 1.10267198654559 253.545663137185 -41.8275379773986 0.0547552206786301 0.0410975382252184 -1 0 27.55655369269266
339565716 253.529607027443 -41.83333571054 nan nan 12.5982 STAR tmgaia2 20190415 "" "" 241-108102 16540710-4150000 "" "" 5966509816748299136 "" "" tmgaia2 nan nan "" nan nan "" 343.452215121744 1.18580930259002 257.079757919596 -19.1299653919812 nan nan 13.463 0.149 nan nan nan nan nan nan nan nan nan nan 11.782 0.034 11.446 0.047 11.347 0.044 AAA-222-111-c00-0-0 nan nan nan nan nan nan nan nan nan 13.0803 0.000708 0.0062 gbprp splin nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 626.75 nan nan nan "" nan "" "" nan nan nan "" nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan "" 13.4446 0.00529 12.5189 0.00285 0 "" ucac4 "" "" 0.386446664959313 0.256595026154693 253.529607027443 -41.83333571054 0.386446664959313 0.256595026154693 1 0 28.67639524761192
1338692667 253.541980742333 -41.8331757213175 -0.352738 -1.96626 12.0341 STAR gaia2 20190415 "" "" "" "" "" "" 5966509782401678592 "" "" gaia2 0.0860785 0.0444775 gaia2 0.55586 0.0409384 gaia2 343.458160502505 1.17875171750668 257.089414276427 -19.1287059925671 nan nan 13.3383 0.0459 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan nan nan nan nan nan nan nan 13.271 0.000775 0.6 rered gaia2 nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 1716.11 123.91 1.22258 0.0762905 "" nan "" "" nan 0.0716961 0.0808849 schlegel nan nan nan nan nan nan nan nan nan nan 115.19 132.63 bj2018 nan nan "" 13.4422 0.006453 12.9257 0.006609 1 "" gaia2 "" "" 1.42875221103985 0.68992959087994 253.541978704011 -41.8331841871593 0.0341948580536514 0.0269954972207979 -1 1 29.231515619945664
339565657 253.524724671823 -41.8290607683878 -0.391171 -2.03569 10.5609 STAR tmgaia2 20190415 "" "" 241-108091 16540593-4149446 "" J165405.92-414944.6 5966509816761433344 21433095 "" tmgaia2 0.0902699 0.065084 gaia2 0.679599 0.0516435 gaia2 343.45324482132 1.1913255264226 257.075382691998 -19.1261549059533 11.916 0.016 11.863 0.069 nan nan nan nan nan nan nan nan nan nan 11.175 0.023 11.097 0.021 11.078 0.02 AAA-222-111-000-0-0 nan 11.142 0.038 11.314 0.04 9.383 0.18 6.858 0.259 11.6779 0.000773 0.6 rered gaia2 nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 1418.53 106.96 1.04088 0.0695016 "" nan "" "" nan 0.0650029 0.0740003 schlegel nan nan nan nan nan nan nan nan nan nan 99.09 114.83 bj2018 nan nan "" 11.7944 0.004347 11.4363 0.002947 1 "" ucac4 apassdr9 "" 1.49879034913485 1.00957548634812 253.524722411559 -41.8290695331643 0.0524484337478011 0.0395118644340242 -1 0 30.056647853743584
339565627 253.547647810299 -41.8266912910321 nan nan 12.779 STAR tmgaia2 20190415 "" "" "" 16541142-4149360 "" "" 5966509885481492608 "" "" tmgaia2 nan nan "" nan nan "" 343.465851464127 1.17956566053004 257.093045332591 -19.1217646780582 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 12.279 nan 13.961 0.102 13.744 0.124 UAB-022-011-0cc-0-0 nan nan nan nan nan nan nan nan nan 17.9357 0.006867 0.75 jhk "" nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan nan nan nan nan "" nan "" "" nan nan nan "" nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan "" nan 0.0 nan 0.0 -1 "" "" "" "" 15.6777787217526 4.76519468817472 253.547647810299 -41.8266912910321 15.6777787217526 4.76519468817472 -1 -1 32.69506020057894
339565740 253.527963429068 -41.8353083086101 -0.46367 -1.71972 8.2391 STAR tmgaia2 20190415 "" "" 241-108097 16540671-4150070 "" J165406.71-415006.9 5966509816761424256 "" "" tmgaia2 0.0911418 0.0720546 gaia2 0.661864 0.0476257 gaia2 343.449917675253 1.1855125953688 257.078708162924 -19.1320696422138 5.336 0.879 9.853 0.023 nan nan nan nan nan nan nan nan nan nan 9.085 0.026 9.038 0.021 9.038 0.021 AAA-122-111-000-0-0 nan 8.981 0.023 9.071 0.02 9.022 0.114 7.49 0.242 9.36713 0.00043 0.6 rered gaia2 nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 1453.97 103.56 1.05753 0.06654635 "" nan "" "" nan 0.0624875 0.0706052 schlegel nan nan nan nan nan nan nan nan nan nan 96.36 110.76 bj2018 nan nan "" 9.45508 0.001508 9.20874 0.001045 1 "" ucac4 bpbj "" 1.5129803513628 1.11753641133402 253.527960749628 -41.8353157129602 0.0429161683054716 0.0392679619234882 -1 0 37.03307467881825
339565757 253.538120797871 -41.8368646812897 -0.528507 -1.99151 12.6952 STAR tmgaia2 20190415 "" "" 241-108128 16540914-4150127 "" J165409.14-415013.3 5966509778099205376 "" "" tmgaia2 0.106773 0.0718244 gaia2 0.66714 0.0500281 gaia2 343.453482918439 1.17865778093536 257.086857784599 -19.132711695706 nan nan 12.841 0.103 nan nan nan nan nan nan nan nan nan nan 12.04 nan 11.925 0.034 11.835 0.03 UAA-622-021-0c0-0-0 nan 11.791 0.074 12.288 0.113 11.152 nan 8.346 nan 12.7005 0.000305 0.0733 rered gaia2 nan nan nan nan nan nan nan nan nan nan nan nan "" nan nan 1443.57 107.28 1.04783 0.06890175 "" nan "" "" nan 0.0645102 0.0732933 schlegel nan nan nan nan nan nan nan nan nan nan 99.5 115.06 bj2018 nan nan "" 12.8525 0.005159 12.3889 0.001616 1 "" ucac4 "" "" 1.7724749259463 1.11409265300664 253.538117743679 -41.8368732558468 0.0503790970299912 0.0425921223718515 -1 0 37.388411671813884
